query,doc_pos
<user> i am looking for a restaurant that is moderately priced and serves cantonese food .,<database> address 7 milton road chesterton <sep_attributes> area north <sep_attributes> food indian <sep_attributes> name the nirala <sep_attributes> phone 01223 360966 <sep_attributes> postcode cb41uy <sep_attributes> pricerange moderate <sep_attributes>
<user> i am looking for a restaurant that is moderately priced and serves cantonese food . <sys> there are no restaurants that serve cantonese food in the moderate price range . <user> how about chinese type of food ?,<database> address 39 burleigh street city centre <sep_attributes> area centre <sep_attributes> food chinese <sep_attributes> name shanghai family restaurant <sep_attributes> phone 01223 301761 <sep_attributes> postcode cb11dg <sep_attributes> pricerange moderate <sep_attributes>
<user> i am looking for a restaurant that is moderately priced and serves cantonese food . <sys> there are no restaurants that serve cantonese food in the moderate price range . <user> how about chinese type of food ? <sys> api call chinese dontcare moderate <user> silence,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
<user> i am looking for a restaurant that is moderately priced and serves cantonese food . <sys> there are no restaurants that serve cantonese food in the moderate price range . <user> how about chinese type of food ? <sys> api call chinese dontcare moderate <user> silence <sys> the golden wok serves chinese food and is in the moderate price range . would you like their location ? <user> their phone number please .,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
<user> i am looking for a restaurant that is moderately priced and serves cantonese food . <sys> there are no restaurants that serve cantonese food in the moderate price range . <user> how about chinese type of food ? <sys> api call chinese dontcare moderate <user> silence <sys> the golden wok serves chinese food and is in the moderate price range . would you like their location ? <user> their phone number please . <sys> their phone number is 01223 350688 . <user> what is the area ?,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
<user> i am looking for a restaurant that is moderately priced and serves cantonese food . <sys> there are no restaurants that serve cantonese food in the moderate price range . <user> how about chinese type of food ? <sys> api call chinese dontcare moderate <user> silence <sys> the golden wok serves chinese food and is in the moderate price range . would you like their location ? <user> their phone number please . <sys> their phone number is 01223 350688 . <user> what is the area ? <sys> it is located in the north part of town <user> thank you for your help . good bye .,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
"<user> hello , i am looking for an expensive restaurant that serves australian food .",<database> address 51 trumpington street city centre <sep_attributes> area centre <sep_attributes> food british <sep_attributes> name fitzbillies restaurant <sep_attributes> phone 01223 352500 <sep_attributes> postcode cb21rg <sep_attributes> pricerange expensive <sep_attributes>
"<user> hello , i am looking for an expensive restaurant that serves australian food . <sys> there are no records matching your request for an expensive restaurant serving australian food . may i help you find a different restaurant ? <user> what about british food ?",<database> address grafton hotel 619 newmarket road fen ditton <sep_attributes> area east <sep_attributes> food british <sep_attributes> name grafton hotel restaurant <sep_attributes> phone 01223 241387 <sep_attributes> postcode cb58pa <sep_attributes> pricerange expensive <sep_attributes>
"<user> hello , i am looking for an expensive restaurant that serves australian food . <sys> there are no records matching your request for an expensive restaurant serving australian food . may i help you find a different restaurant ? <user> what about british food ? <sys> api call british dontcare expensive <user> silence",<database> address huntingdon road city centre <sep_attributes> area west <sep_attributes> food british <sep_attributes> name travellers rest <sep_attributes> phone 01223 276182 <sep_attributes> postcode cb30df <sep_attributes> pricerange expensive <sep_attributes>
"<user> hello , i am looking for an expensive restaurant that serves australian food . <sys> there are no records matching your request for an expensive restaurant serving australian food . may i help you find a different restaurant ? <user> what about british food ? <sys> api call british dontcare expensive <user> silence <sys> there are six restaurants matching your query . one of them is travellers rest . <user> could i have the phone number for one of the restaurants ?",<database> address huntingdon road city centre <sep_attributes> area west <sep_attributes> food british <sep_attributes> name travellers rest <sep_attributes> phone 01223 276182 <sep_attributes> postcode cb30df <sep_attributes> pricerange expensive <sep_attributes>
"<user> hello , i am looking for an expensive restaurant that serves australian food . <sys> there are no records matching your request for an expensive restaurant serving australian food . may i help you find a different restaurant ? <user> what about british food ? <sys> api call british dontcare expensive <user> silence <sys> there are six restaurants matching your query . one of them is travellers rest . <user> could i have the phone number for one of the restaurants ? <sys> there phone number is 01223352500 is there anything else i can help you with ? <user> thanks , goodbye .",<database> address huntingdon road city centre <sep_attributes> area west <sep_attributes> food british <sep_attributes> name travellers rest <sep_attributes> phone 01223 276182 <sep_attributes> postcode cb30df <sep_attributes> pricerange expensive <sep_attributes>
<user> i am wanting an expensive restaurant that offers african food . what is their number ?,<database> address 100 mill road city centre <sep_attributes> area centre <sep_attributes> food african <sep_attributes> name bedouin <sep_attributes> phone 01223 367660 <sep_attributes> postcode cb12bd <sep_attributes> pricerange expensive <sep_attributes>
<user> i am wanting an expensive restaurant that offers african food . what is their number ? <sys> api call african dontcare expensive <user> silence,<database> address 100 mill road city centre <sep_attributes> area centre <sep_attributes> food african <sep_attributes> name bedouin <sep_attributes> phone 01223 367660 <sep_attributes> postcode cb12bd <sep_attributes> pricerange expensive <sep_attributes>
<user> i am wanting an expensive restaurant that offers african food . what is their number ? <sys> api call african dontcare expensive <user> silence <sys> where are you located ? i see two that might work but id like to offer the closest . <user> i do not care about the area of town .,<database> address 100 mill road city centre <sep_attributes> area centre <sep_attributes> food african <sep_attributes> name bedouin <sep_attributes> phone 01223 367660 <sep_attributes> postcode cb12bd <sep_attributes> pricerange expensive <sep_attributes>
"<user> i am wanting an expensive restaurant that offers african food . what is their number ? <sys> api call african dontcare expensive <user> silence <sys> where are you located ? i see two that might work but id like to offer the closest . <user> i do not care about the area of town . <sys> bedouin is an expensive african restaurant in the city centre . <user> that sounds good , what is their number so that i can ring them ?",<database> address 100 mill road city centre <sep_attributes> area centre <sep_attributes> food african <sep_attributes> name bedouin <sep_attributes> phone 01223 367660 <sep_attributes> postcode cb12bd <sep_attributes> pricerange expensive <sep_attributes>
"<user> i am wanting an expensive restaurant that offers african food . what is their number ? <sys> api call african dontcare expensive <user> silence <sys> where are you located ? i see two that might work but id like to offer the closest . <user> i do not care about the area of town . <sys> bedouin is an expensive african restaurant in the city centre . <user> that sounds good , what is their number so that i can ring them ? <sys> their phone number is 01223 367660 . <user> great ! thank you . good bye .",<database> address 100 mill road city centre <sep_attributes> area centre <sep_attributes> food african <sep_attributes> name bedouin <sep_attributes> phone 01223 367660 <sep_attributes> postcode cb12bd <sep_attributes> pricerange expensive <sep_attributes>
<user> i would like a moderately priced restaurant in the north part of town .,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like a moderately priced restaurant in the north part of town . <sys> api call dontcare north moderate <user> silence,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like a moderately priced restaurant in the north part of town . <sys> api call dontcare north moderate <user> silence <sys> golden wok is a moderately priced restaurant in the north side of town . <user> what type of food does golden wok serve ?,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
<user> i would like a moderately priced restaurant in the north part of town . <sys> api call dontcare north moderate <user> silence <sys> golden wok is a moderately priced restaurant in the north side of town . <user> what type of food does golden wok serve ? <sys> the golden wok serves chinese food . would you like more information ? <user> yes what is the address for the business ?,<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
"<user> i would like a moderately priced restaurant in the north part of town . <sys> api call dontcare north moderate <user> silence <sys> golden wok is a moderately priced restaurant in the north side of town . <user> what type of food does golden wok serve ? <sys> the golden wok serves chinese food . would you like more information ? <user> yes what is the address for the business ? <sys> they are located at 191 histon road chesterton <user> great . i have everything i need , thank you",<database> address 191 histon road chesterton <sep_attributes> area north <sep_attributes> food chinese <sep_attributes> name golden wok <sep_attributes> phone 01223 350688 <sep_attributes> postcode cb43hl <sep_attributes> pricerange moderate <sep_attributes>
<user> is there a cheap place in the north part of town ?,<database> address 20 milton road chesterton <sep_attributes> area north <sep_attributes> food italian <sep_attributes> name da vinci pizzeria <sep_attributes> phone 01223 351707 <sep_attributes> postcode cb41jy <sep_attributes> pricerange cheap <sep_attributes>
